ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a Public School based table with the following filters applied: State(s) (All Years): All 50 + DC; School Type [Public School] (All Years: 2018-19): 1-Regular school 2-Special education school; Grade 12 offered [Public School] (All Years: 2018-19): Yes

School Name,State Name [Public School] Latest available year,State Abbr [Public School] Latest available year,County Name [Public School] 2018-19,Web Site URL [Public School] 2018-19,Phone Number [Public School] 2018-19,School Type [Public School] 2018-19,Grade 12 offered [Public School] 2018-19,Total Students All Grades (Excludes AE) [Public School] 2018-19,Male Students [Public School] 2018-19,Female Students [Public School] 2018-19,Two or More Races Students [Public School] 2018-19,Hawaiian Nat./Pacific Isl. Students [Public School] 2018-19,White Students [Public School] 2018-19,Black Students [Public School] 2018-19,Hispanic Students [Public School] 2018-19,Asian or Asian/Pacific Islander Students [Public School] 2018-19,American Indian/Alaska Native Students [Public School] 2018-19,Free and Reduced Lunch Students [Public School] 2018-19,Location City [Public School] 2018-19
ACERO CHTR SCH NETWRK- VICTORIA,ILLINOIS,IL ,Cook County,†,3124555446,1-Regular school,1-Yes,541,308,233,†,†,1,8,532,†,†,485,Chicago
ACHIEVABLE DREAM MIDDLE/HIGH,Virginia,VA ,Newport News city,http://achievabledream.nn.k12.va.us,7572837820,1-Regular school,1-Yes,474,203,271,15,="0",4,421,33,="0",1,398,Newport News
ACHIEVE,Minnesota,MN ,Hennepin County,http://www.district279.org/services/StudentServices/SpecialE,7633159760,2-Special education school,1-Yes,18,14,4,6,="0",3,8,1,="0",="0",15,OSSEO
ACHIEVE BLENDED LEARNING ACADEMY,COLORADO,CO ,Delta County,†,9708747671,1-Regular school,1-Yes,12,3,9,="0",="0",12,="0",="0",="0",="0",3,DELTA
ACHIEVE CAREER PREPARATORY ACADEMY,Ohio,OH ,Lucas County,http://www.achieveprep.com,4192438559,1-Regular school,1-Yes,158,84,74,16,="0",15,111,16,="0",="0",–,Toledo
ACHIEVE CHARTER HIGH,CALIFORNIA,CA ,Butte County,http://www.achsparadise.org/,5308724100,1-Regular school,1-Yes,48,23,25,3,="0",38,="0",5,2,="0",19,Paradise
ACHIEVE EARLY COLLEGE H S,Texas,TX ,Hidalgo County,†,9568721653,1-Regular school,1-Yes,483,189,294,2,="0",7,1,465,8,="0",355,MCALLEN
ACHIEVE VIRTUAL EDUCATION ACADEMY,Indiana,IN ,Marion County,†,3179887144,1-Regular school,1-Yes,257,79,178,11,†,175,46,23,1,1,33,Indianapolis
ACHIEVEMENT FIRST BRIDGEPORT ACADEMY,Connecticut,CT ,Fairfield County,http://www.achievementfirst.org/schools/connecticut-schools/achievement-first-br,2033380593,1-Regular school,1-Yes,1093,512,581,2,2,13,584,480,9,3,717,Bridgeport
ACHIEVEMENT FIRST CROWN HEIGHTS CHARTER SCHOOL,New York,NY ,Kings County,http://www.achievementfirst.org,3474712580,1-Regular school,1-Yes,1287,588,699,9,1,5,1187,74,1,10,982,BROOKLYN
ACHIEVEMENT FIRST EAST NEW YORK CHARTER SCHOOL,New York,NY ,Kings County,http://www.achievementfirst.org,7184854924,1-Regular school,1-Yes,–,†,†,†,†,†,†,†,†,†,907,BROOKLYN
ACHIEVEMENT FIRST ENDEAVOR CHARTER SCHOOL,New York,NY ,Kings County,http://www.achievementfirst.org,7186224786,1-Regular school,1-Yes,805,400,405,9,3,10,668,107,6,2,540,BROOKLYN
ACHIEVEMENT FIRST HARTFORD ACADEMY INC.,Connecticut,CT ,Hartford County,http://www.achievementfirst.org,8606956685,1-Regular school,1-Yes,1112,519,593,15,1,4,782,304,3,3,857,Hartford
ACHIEVEMENT HOUSE CS,Pennsylvania,PA ,Chester County,http://www.achievementcharter.com,4846156200,1-Regular school,1-Yes,494,239,255,32,4,253,94,107,1,3,329,Exton
ACHIEVEPOINT CAREER ACADEMY - CINCINNATI,OHIO,OH ,Hamilton County,http://www.achievepoint.org,5133343607,1-Regular school,1-Yes,72,31,41,10,="0",37,24,="0",="0",1,53,Cincinnati
ACHIEVEPOINT CAREER ACADEMY - COLUMBUS,OHIO,OH ,Franklin County,http://www.achievepoint.org,6144014769,1-Regular school,1-Yes,59,24,35,1,="0",30,27,1,="0",="0",40,Columbus
ACHILLE HS,Oklahoma,OK ,Bryan County,http://www.achilleisd.org/,5802833260,1-Regular school,1-Yes,78,42,36,2,†,59,2,2,†,13,46,Achille
ACORN HIGH SCHOOL,Arkansas,AR ,Polk County,http://www.ouachitariversd.org,4793945544,1-Regular school,1-Yes,270,135,135,4,†,243,4,7,7,5,175,MENA
ACT ACADEMY CYBER CS,Pennsylvania,PA ,Philadelphia County,http://www.actacademy.org/,2672971668,1-Regular school,1-Yes,76,38,38,2,="0",7,64,3,="0",="0",–,Philadelphia
ACTECH HIGH SCHOOL,Michigan,MI ,Washtenaw County,http://www.ycschools.us,7342211001,1-Regular school,1-Yes,528,291,237,24,="0",73,371,58,2,="0",335,Ypsilanti
ACTON-BOXBOROUGH REGIONAL HIGH,Massachusetts,MA ,Middlesex County,http://abrhs.abschools.org/,9782644700,1-Regular school,1-Yes,1837,946,891,87,†,1044,36,70,597,3,–,Acton
AD JOHNSTON JRSR HIGH SCHOOL,Michigan,MI ,Gogebic County,http://www.goisd.org/bessemer,9066670413,1-Regular school,1-Yes,200,101,99,2,="0",177,5,10,1,5,105,BESSEMER
ADA HIGH SCHOOL,Ohio,OH ,Hardin County,†,4196342746,1-Regular school,1-Yes,401,221,180,11,="0",370,4,11,5,="0",263,Ada
ADA HS,Oklahoma,OK ,Pontotoc County,http://www.adapss.com,5803107220,1-Regular school,1-Yes,538,283,255,81,†,234,23,49,8,143,266,Ada
ADA-BORUP SECONDARY,Minnesota,MN ,Norman County,†,2187845332,1-Regular school,1-Yes,398,206,192,24,†,320,3,43,2,6,174,ADA
ADAIR CO. HIGH,Missouri,MO ,Adair County,http://BRASHEAR.K12.MO.US,6603235272,1-Regular school,1-Yes,79,49,30,5,†,74,†,†,†,†,29,BRASHEAR
ADAIR CO. HIGH,Missouri,MO ,Adair County,http://www.novinger.k12.mo.us,6604886411,1-Regular school,1-Yes,99,56,43,†,†,98,†,†,1,†,58,NOVINGER
ADAIR COUNTY HIGH SCHOOL,Kentucky,KY ,Adair County,†,2703842751,1-Regular school,1-Yes,788,410,378,21,†,728,13,25,1,†,500,Columbia
ADAIR HS,Oklahoma,OK ,Mayes County,http://www.adair.k12.ok.us,9187852424,1-Regular school,1-Yes,258,140,118,4,†,107,1,9,4,133,114,Adair
ADAIRSVILLE HIGH SCHOOL,Georgia,GA ,Bartow County,†,7706064151,1-Regular school,1-Yes,977,498,479,32,="0",801,66,71,6,1,423,Adairsville
ADAK SCHOOL,Alaska,AK ,Aleutians West Census Area,http://www.aleutregion.org/,9075923820,1-Regular school,1-Yes,12,8,4,="0",3,1,="0",6,1,1,†,Adak
ADAMS CENTRAL HIGH SCHOOL,Indiana,IN ,Adams County,†,2606926151,1-Regular school,1-Yes,374,177,197,6,†,350,5,5,7,1,74,Monroe
ADAMS CENTRAL JR-SR HIGH SCH,Nebraska,NE ,Adams County,†,4024633285,1-Regular school,1-Yes,452,220,232,7,="0",425,2,15,2,1,97,HASTINGS
ADAMS CITY HIGH SCHOOL,Colorado,CO ,Adams County,†,3032893111,1-Regular school,1-Yes,1764,904,860,18,1,160,36,1530,7,12,1444,COMMERCE CITY
ADAMS HIGH SCHOOL,Indiana,IN ,St. Joseph County,†,5743935300,1-Regular school,1-Yes,1913,924,989,166,2,706,501,484,49,5,1080,South Bend
ADAMS-FRIENDSHIP HIGH,Wisconsin,WI ,Adams County,http://www.afasd.net,6083393921,1-Regular school,1-Yes,486,252,234,10,1,440,5,23,2,5,289,Adams
ADAMSVILLE JUNIOR / SENIOR HIGH SCHOOL,Tennessee,TN ,McNairy County,http://ahs.mcnairycountyschools.com/,7314394122,1-Regular school,1-Yes,716,378,338,8,†,678,19,10,1,†,–,Adamsville
ADDENBROOKE CLASSICAL ACADEMY,Colorado,CO ,Jefferson County,†,3039891336,1-Regular school,1-Yes,373,183,190,17,†,256,4,84,10,2,43,LAKEWOOD
ADDISON HIGH SCHOOL,Alabama,AL ,Winston County,http://www.winstonk12.org,2057173314,1-Regular school,1-Yes,295,151,144,="0",="0",286,1,6,="0",2,130,Addison
ADDISON HIGH SCHOOL,Michigan,MI ,Lenawee County,http://addisonschools.org,5175476900,1-Regular school,1-Yes,240,115,125,14,="0",198,4,21,2,1,116,ADDISON
ADDISON MIDDLE/HIGH SCHOOL,New York,NY ,Steuben County,http://www.addisoncsd.org,6073592241,1-Regular school,1-Yes,563,280,283,11,="0",533,5,4,6,4,286,ADDISON
ADDISON TRAIL HIGH SCHOOL,Illinois,IL ,DuPage County,†,6306283302,1-Regular school,1-Yes,1999,1062,937,31,†,526,45,1272,98,27,1075,Addison
ADELANTO HIGH,California,CA ,San Bernardino County,http://www.vvuhsd.org,7602463909,1-Regular school,1-Yes,1854,982,872,55,13,74,417,1266,21,8,1594,Adelanto
ADENA HIGH SCHOOL,Ohio,OH ,Ross County,†,7409982313,1-Regular school,1-Yes,325,166,159,11,="0",306,3,5,="0",="0",–,Frankfort
ADIRONDACK HIGH SCHOOL,New York,NY ,Oneida County,http://www.adirondackcsd.org,3159429250,1-Regular school,1-Yes,359,176,183,3,="0",353,3,="0",="0",="0",158,BOONVILLE
ADLAI E STEVENSON HIGH SCHOOL,Illinois,IL ,Lake County,†,8474154000,1-Regular school,1-Yes,4261,2200,2061,123,4,2330,87,344,1368,5,227,Lincolnshire
ADLAI STEVENSON HIGH SCHOOL,Michigan,MI ,Macomb County,http://stevenson.uticak12.org/,5867971900,1-Regular school,1-Yes,1969,1012,957,39,8,1652,114,42,114,="0",892,STERLING HEIGHTS
ADM SENIOR HIGH SCHOOL,Iowa,IA ,Dallas County,http://www.admschools.org,5159934584,1-Regular school,1-Yes,505,249,256,9,†,477,†,15,2,2,90,Adel
ADMIRAL ARTHUR W RADFORD HIGH SCHOOL,Hawaii,HI ,Honolulu County,†,8084214200,1-Regular school,1-Yes,1244,664,580,134,146,393,149,162,258,2,276,Honolulu
ADMIRAL WILLIAM F. HALSEY JR. HEALTH & PUBLIC SAFETY ACADEMY,New Jersey,NJ ,Union County,†,9084366600,1-Regular school,1-Yes,1111,521,590,†,3,55,183,866,4,†,920,Elizabeth
ADNA MIDDLE/HIGH SCHOOL,Washington,WA ,Lewis County,†,3607488552,1-Regular school,1-Yes,388,198,190,9,†,348,1,24,4,2,110,Chehalis
ADOLESCENT DAY TREATMENT,Alabama,AL ,Jefferson County,†,2052314633,2-Special education school,1-Yes,–,†,†,†,†,†,†,†,†,†,–,Birmingham
ADOLFO CAMARILLO HIGH,California,CA ,Ventura County,http://www.camarillohigh.us,8053896407,1-Regular school,1-Yes,2225,1125,1100,117,5,958,42,894,207,2,544,Camarillo
ADRIAN HIGH SCHOOL,Michigan,MI ,Lenawee County,http://www.theadrianmaples.com,5172632181,1-Regular school,1-Yes,798,415,383,44,="0",424,49,256,21,4,371,ADRIAN
ADRIAN HIGH SCHOOL,Oregon,OR ,Malheur County,http://www.adrian.k12.or.us,5413722335,1-Regular school,1-Yes,89,50,39,2,="0",69,="0",14,2,2,44,Adrian
ADRIAN SCHOOL,Texas,TX ,Oldham County,http://adrianisd.net,8065386203,1-Regular school,1-Yes,117,50,67,4,="0",44,="0",69,="0",="0",78,ADRIAN
ADRIAN SECONDARY,Minnesota,MN ,Nobles County,http://adrianschool.net,5074832232,1-Regular school,1-Yes,186,89,97,4,†,144,1,30,6,1,71,ADRIAN
ADRIAN SR. HIGH,Missouri,MO ,Bates County,http://www.adrian.k12.mo.us,8162974460,1-Regular school,1-Yes,356,188,168,†,†,343,4,7,†,2,133,ADRIAN
ADRIAN WILCOX HIGH,California,CA ,Santa Clara County,†,4084232400,1-Regular school,1-Yes,1961,1026,935,86,14,374,35,743,700,9,745,Santa Clara
ADULT LIFE ACADEMY,ILLINOIS,IL ,Coles County,†,2173487700,2-Special education school,1-Yes,19,10,9,1,†,14,2,1,1,†,5,Mattoon
ADULT TRANSITION PROGRAM,CALIFORNIA,CA ,Los Angeles County,http://do.bonita.k12.ca.us/,9099718230,2-Special education school,1-Yes,15,8,7,3,="0",5,="0",7,="0",="0",5,San Dimas
ADVANCE HIGH,Missouri,MO ,Stoddard County,http://www.advance.k12.mo.us,5737223584,1-Regular school,1-Yes,205,112,93,†,†,201,1,3,†,†,100,ADVANCE
ADVANCED LEARNING ACADEMY,CALIFORNIA,CA ,Orange County,http://www.sausd.us/advancedlearning,7144804300,1-Regular school,1-Yes,364,186,178,2,="0",3,1,351,3,4,300,Santa Ana
ADVANCED LEARNING ACADEMY,TEXAS,TX ,Bexar County,http://www.saisd.net/schools/advancedacademy/,2107389763,1-Regular school,1-Yes,826,410,416,18,="0",117,26,660,5,="0",421,SAN ANTONIO
ADVANCED LEARNING ACADEMY OF WISCONSIN,Wisconsin,WI ,Barron County,http://www.barron.k12.wi.us/schools/alaw.cfm,7155375627,1-Regular school,1-Yes,47,22,25,4,="0",35,2,6,="0",="0",25,Barron
ADVANCED MATH AND SCIENCE ACADEMY CHARTER SCHOOL,Massachusetts,MA ,Middlesex County,http://www.amsacs.org,5085972400,1-Regular school,1-Yes,974,506,468,69,†,659,18,56,169,3,–,Marlborough
ADVANCED TECHNOLOGIES ACADEMY,Nevada,NV ,Clark County,†,7027997870,1-Regular school,1-Yes,1165,733,432,75,12,283,103,493,198,1,554,Las Vegas
ADVANCED TECHNOLOGY ACADEMY,Michigan,MI ,Wayne County,http://www.atafordpas.org,3136254700,1-Regular school,1-Yes,1296,634,662,5,2,60,963,262,2,2,1202,DEARBORN
ADVANTAGE ACADEMY,Texas,TX ,Dallas County,http://www.advantageacademy.org,2142765800,1-Regular school,1-Yes,1689,852,837,31,1,237,445,947,27,1,1301,GRAND PRAIRIE
AEROSPACE/HYDROSPACE ENGINEERING AND PHYSICAL SCIENCES HS,Connecticut,CT ,Fairfield County,http://bridgeportedu.com,2032753300,1-Regular school,1-Yes,449,294,155,2,1,95,150,173,26,2,269,Bridgeport
AEROSTEM ACADEMY,CALIFORNIA,CA ,Sutter County,http://www.aerostem.org,5307422786,1-Regular school,1-Yes,62,47,15,16,="0",25,="0",15,5,1,29,Yuba City
AFFTON HIGH,Missouri,MO ,St. Louis County,http://www.afftonschools.net,3146386330,1-Regular school,1-Yes,782,403,379,47,†,589,89,38,18,1,233,ST LOUIS
AFSA HIGH SCHOOL,Minnesota,MN ,Ramsey County,http://www.afsahighschool.com,6512093910,1-Regular school,1-Yes,296,170,126,10,†,229,24,16,17,†,101,VADNAIS HEIGHTS
AFTON HS,Oklahoma,OK ,Ottawa County,http://www.aftonschools.net,9182578305,1-Regular school,1-Yes,160,91,69,="0",†,80,†,6,2,72,115,Afton
AFTON JUNIOR/SENIOR HIGH SCHOOL,New York,NY ,Chenango County,http://www.aftoncsd.org,6076398201,1-Regular school,1-Yes,247,123,124,3,="0",225,7,7,5,="0",119,AFTON
AGATE JUNIOR SENIOR HIGH SCHOOL,Colorado,CO ,Elbert County,†,7197642741,1-Regular school,1-Yes,20,10,10,="0",="0",15,="0",5,="0",="0",14,AGATE
AGAVE MIDDLE AND HIGH SCHOOL,Arizona,AZ ,Pima County,†,5202256060,1-Regular school,1-Yes,219,104,115,13,1,67,12,122,="0",4,–,TUCSON
AGAWAM HIGH,Massachusetts,MA ,Hampden County,http://www.agawamed.org,4138210521,1-Regular school,1-Yes,1113,558,555,25,†,976,18,71,22,1,–,Agawam
AGBU ALEXMARIE MANOOGIAN SCHOOL,Michigan,MI ,Oakland County,http://www.manoogian.org,2485692988,1-Regular school,1-Yes,399,186,213,="0",="0",391,7,1,="0",="0",221,SOUTHFIELD
AGEE LIERLY LIFE PREPARATION SERVICES SCHOOL,ARKANSAS,AR ,Washington County,http://#www.fayar.net#,4794443083,1-Regular school,1-Yes,254,126,128,17,3,146,43,43,†,2,154,FAYETTEVILLE
AGORA CYBER CS,Pennsylvania,PA ,Montgomery County,http://www.agoraeagles.org,6102300775,1-Regular school,1-Yes,5499,2675,2824,70,15,3065,1680,566,74,29,2646,King of Prussia
AGOURA HIGH,California,CA ,Los Angeles County,http://www.agourahighschool.net,8188891262,1-Regular school,1-Yes,1972,1020,952,65,4,1483,31,241,132,16,216,Agoura
AGRA HS,Oklahoma,OK ,Lincoln County,http://www.agra.k12.ok.us/,9183752261,1-Regular school,1-Yes,101,47,54,1,†,59,2,9,†,30,57,Agra
AGRICULTURE AND SCIENCE EARLY COLLEGE,NORTH CAROLINA,NC ,Iredell County,†,7048764056,1-Regular school,1-Yes,153,64,89,6,="0",112,13,20,1,1,43,Olin
AGUA DULCE H S,Texas,TX ,Nueces County,http://www.adisd.esc2.net,3619982214,1-Regular school,1-Yes,197,109,88,="0",="0",47,2,147,1,="0",158,AGUA DULCE
AGUA FRIA HIGH SCHOOL,Arizona,AZ ,Maricopa County,†,6239327000,1-Regular school,1-Yes,1830,919,911,50,12,329,203,1186,35,15,1043,AVONDALE
AGUILAR JUNIOR-SENIOR HIGH SCHOOL,Colorado,CO ,Las Animas County,†,7199414188,1-Regular school,1-Yes,54,28,26,†,†,23,†,31,†,†,32,AGUILAR
AGWSR HIGH SCHOOL,Iowa,IA ,Hardin County,http://www.agwsr.org,6418472633,1-Regular school,1-Yes,156,81,75,3,†,142,†,9,2,†,56,Ackley
AHRENS EDUCATIONAL RESOURCE CENTER,Kentucky,KY ,Jefferson County,†,5024858201,2-Special education school,1-Yes,40,27,13,2,†,19,15,3,1,†,22,Louisville
AHSTW HIGH SCHOOL,Iowa,IA ,Pottawattamie County,http://www.ahstwschools.org,7123436364,1-Regular school,1-Yes,224,104,120,5,†,207,1,10,1,†,77,Avoca
AIEA HIGH SCHOOL,Hawaii,HI ,Honolulu County,†,8084837300,1-Regular school,1-Yes,971,488,483,105,265,60,10,95,435,1,461,Aiea
AIKEN HIGH,South Carolina,SC ,Aiken County,†,8036412500,1-Regular school,1-Yes,1345,673,672,35,1,602,615,80,7,5,742,Aiken
AIKEN HIGH SCHOOL,Ohio,OH ,Hamilton County,†,5133636760,1-Regular school,1-Yes,864,477,387,38,1,47,726,26,24,2,–,Cincinnati
AIKEN PERFORMING ARTS ACADEMY CHARTER,South Carolina,SC ,Aiken County,†,8036444824,1-Regular school,1-Yes,44,25,19,3,="0",12,28,1,="0",="0",30,Aiken
AIKEN SCHOLARS ACADEMY,SOUTH CAROLINA,SC ,Aiken County,†,8036412428,1-Regular school,1-Yes,50,15,35,1,="0",40,5,2,2,="0",13,Aiken
AIM HIGHER COLLEGE PREP ACADEMY,ARIZONA,AZ ,Maricopa County,†,6022437788,1-Regular school,1-Yes,54,24,30,="0",="0",4,="0",49,="0",1,51,PHOENIX
AINSWORTH HIGH SCHOOL,Nebraska,NE ,Brown County,†,4023872082,1-Regular school,1-Yes,133,64,69,="0",="0",124,="0",4,="0",5,46,AINSWORTH
AIR ACADEMY HIGH SCHOOL,Colorado,CO ,El Paso County,†,7192342400,1-Regular school,1-Yes,1370,679,691,92,4,990,47,186,47,4,197,USAF ACADEMY
AIR FORCE ACAD HIGH SCHOOL,Illinois,IL ,Cook County,†,7735351590,1-Regular school,1-Yes,195,116,79,4,†,16,81,91,3,†,170,Chicago
AIRLINE HIGH SCHOOL,Louisiana,LA ,Bossier Parish,†,3185495080,1-Regular school,1-Yes,1854,981,873,47,3,949,677,133,42,3,728,Bossier City
AIRPORT HIGH,South Carolina,SC ,Lexington County,†,8038225600,1-Regular school,1-Yes,1355,649,706,64,="0",652,473,155,8,3,815,West Columbia
AIRPORT MIDDLE COLLEGE,MICHIGAN,MI ,Monroe County,†,7346544071,1-Regular school,1-Yes,26,16,10,="0",="0",26,="0",="0",="0",="0",7,Carleton
AIRPORT SENIOR HIGH SCHOOL,Michigan,MI ,Monroe County,http://www.airportschools.com,7346546208,1-Regular school,1-Yes,796,397,399,7,="0",722,35,23,2,7,372,CARLETON
AITKIN SECONDARY SCHOOL,Minnesota,MN ,Aitkin County,http://www.aitkin.k12.mn.us,2189272115,1-Regular school,1-Yes,557,279,278,22,†,520,4,8,†,3,224,AITKIN
AJO HIGH SCHOOL,Arizona,AZ ,Pima County,†,5203875618,1-Regular school,1-Yes,135,75,60,1,="0",26,="0",97,2,9,103,AJO
AKHIOK SCHOOL,Alaska,AK ,Kodiak Island Borough,http://www.kibsd.org,9078362223,1-Regular school,1-Yes,14,2,12,1,="0",="0",1,="0",="0",12,14,Akhiok
AKIACHAK SCHOOL,Alaska,AK ,Bethel Census Area,http://www.yupiit.org/site/default.aspx?PageID=1,9078253616,1-Regular school,1-Yes,198,96,102,1,="0",2,1,="0",1,193,205,Akiachak
AKIAK SCHOOL,Alaska,AK ,Bethel Census Area,http://www.yupiit.org/site/default.aspx?PageID=1,9077654600,1-Regular school,1-Yes,120,57,63,="0",="0",="0",="0",="0",="0",120,126,Akiak
AKINS H S,Texas,TX ,Travis County,†,5128419900,1-Regular school,1-Yes,2802,1464,1338,55,5,324,192,2153,71,2,1740,AUSTIN
AKIUK MEMORIAL SCHOOL,Alaska,AK ,Bethel Census Area,http://www.lksd.org/lksd/,9074776829,1-Regular school,1-Yes,106,55,51,="0",="0",2,="0",="0",="0",104,107,Kasigluk
AKRON ALTERNATIVE ACADEMY,Ohio,OH ,Summit County,†,3307613262,1-Regular school,1-Yes,288,174,114,20,2,62,173,15,16,="0",–,Akron
AKRON EARLY COLLEGE HIGH SCHOOL,Ohio,OH ,Summit County,http://www.akronschools.com,3307611661,1-Regular school,1-Yes,398,151,247,23,1,127,147,11,89,="0",–,Akron
AKRON HIGH SCHOOL,New York,NY ,Erie County,http://www.akronschools.org,7165425030,1-Regular school,1-Yes,442,211,231,5,="0",379,4,4,3,47,142,AKRON
AKRON HIGH SCHOOL,Colorado,CO ,Washington County,†,9703452268,1-Regular school,1-Yes,105,62,43,2,†,83,†,17,3,†,49,AKRON
AKRON STEM HIGH SCHOOL,Ohio,OH ,Summit County,http://www.akronschools.com,3307611661,1-Regular school,1-Yes,331,201,130,29,="0",139,127,12,24,="0",–,Akron
AKRON WESTFIELD SENIOR HIGH SCHOOL,Iowa,IA ,Plymouth County,http://www.akron-westfield.com,7125682020,1-Regular school,1-Yes,179,100,79,6,†,156,4,10,1,2,41,Akron
AKRONFAIRGROVE JRSR HIGH SCHOOL,Michigan,MI ,Tuscola County,http://akronfairgrove.org,9896936112,1-Regular school,1-Yes,155,73,82,7,="0",128,4,16,="0",="0",117,FAIRGROVE
AKTEACH,Alaska,AK ,Kodiak Island Borough,http://www.kibsd.org,9079420537,1-Regular school,1-Yes,114,54,60,8,2,64,1,7,4,28,3,Kodiak
AKULA ELITNAURVIK SCHOOL,Alaska,AK ,Bethel Census Area,http://www.lksd.org/lksd/,9074776615,1-Regular school,1-Yes,134,65,69,="0",="0",2,="0",="0",="0",132,130,Kasigluk
AKUTAN SCHOOL,Alaska,AK ,Aleutians East Borough,http://www.aebsd.org/,9076982205,1-Regular school,1-Yes,19,11,8,1,="0",3,="0",="0",2,13,3,Akutan
ALABAMA RENAISSANCE SCHOOL,ALABAMA,AL ,Limestone County,http://www.acs-k12.com,2562336801,1-Regular school,1-Yes,†,†,†,†,†,†,†,†,†,†,†,Athens
ALABAMA SCHOOL FOR BLIND,Alabama,AL ,Talladega County,†,2567613259,2-Special education school,1-Yes,–,†,†,†,†,†,†,†,†,†,–,Talladega
ALABAMA SCHOOL FOR DEAF,Alabama,AL ,Talladega County,†,2567613214,2-Special education school,1-Yes,–,†,†,†,†,†,†,†,†,†,–,Talladega
ALABAMA VIRTUAL ACADEMY AT EUFAULA CITY SCHOOLS,ALABAMA,AL ,Barbour County,http://www.nonesupplied.com,3346895059,1-Regular school,1-Yes,2798,1365,1433,="0",12,1851,769,111,27,28,1395,Eufaula
ALACHUA ESCHOOL (VIRTUAL FRANCHISE),Florida,FL ,Alachua County,http://www.sbac.edu/aes,3529557584,1-Regular school,1-Yes,120,55,65,9,="0",83,10,15,3,="0",41,GAINESVILLE
ALACHUA VIRTUAL INSTRUCTION PROGRAM,Florida,FL ,Alachua County,http://www.sbac.edu/aes,3529557584,1-Regular school,1-Yes,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",–,GAINESVILLE
ALAIN LEROY LOCKE COLLEGE PREPARATORY ACADEMY,CALIFORNIA,CA ,Los Angeles County,http://greendot.org/locke,3234202100,1-Regular school,1-Yes,1393,816,577,3,†,3,328,1053,†,6,1341,Los Angeles
ALAK SCHOOL,Alaska,AK ,North Slope Borough,http://nsbsdbeta.schoolwires.net/Domain/12,9077632541,1-Regular school,1-Yes,168,80,88,5,="0",="0",1,="0",="0",162,105,Wainwright
ALAKANUK SCHOOL,Alaska,AK ,Kusilvak Census Area,http://www.lysd.org/,9072383312,1-Regular school,1-Yes,212,115,97,="0",="0",1,1,="0",="0",210,215,Alakanuk
ALAMEDA COMMUNITY LEARNING CENTER,CALIFORNIA,CA ,Alameda County,http://www.alamedaclc.org,5109954300,1-Regular school,1-Yes,351,189,162,62,†,123,27,47,92,†,93,Alameda
ALAMEDA HIGH,California,CA ,Alameda County,http://aus.alamedausd.ca.schoolloop.com,5103377022,1-Regular school,1-Yes,1767,889,878,118,10,539,89,223,786,2,371,Alameda
ALAMEDA INTERNATIONAL JUNIOR/SENIOR HIGH SCHOOL,Colorado,CO ,Jefferson County,†,3039828160,1-Regular school,1-Yes,1139,614,525,24,1,171,11,864,51,17,941,LAKEWOOD
ALAMO HEIGHTS H S,Texas,TX ,Bexar County,http://www.ahisd.net,2108208850,1-Regular school,1-Yes,1606,826,780,10,4,861,28,642,53,8,270,SAN ANTONIO
ALAMOGORDO HIGH,New Mexico,NM ,Otero County,http://www.aps4kids.org/AlamogordoHigh.cfm,5758126500,1-Regular school,1-Yes,1564,784,780,48,7,749,105,605,32,18,794,ALAMOGORDO
ALAMOSA HIGH SCHOOL,Colorado,CO ,Alamosa County,http://alamosa.k12.co.us,7195876000,1-Regular school,1-Yes,616,305,311,14,1,193,6,382,10,10,378,ALAMOSA
ALANSON PUBLIC SCHOOL,Michigan,MI ,Emmet County,http://www.alansonvikings.net,2315482261,1-Regular school,1-Yes,215,121,94,22,="0",176,="0",7,1,9,138,ALANSON
ALASKA MIDDLE COLLEGE SCHOOL,ALASKA,AK ,Anchorage Municipality,http://amcs.asdk12.org/,9077867611,1-Regular school,1-Yes,239,80,159,30,3,147,18,14,18,9,78,Eagle River
ALASKA REACH ACADEMY,Alaska,AK ,Southeast Fairbanks Census Area,http://reachacademy.us,9078832591,1-Regular school,1-Yes,45,25,20,3,="0",34,="0",="0",4,4,†,Tok
